sgRNA	Gene	PlasmidLib	R1_2iSL	R1_High	R1_Negative	R1_Selected	R2_2iSL	R2_High	R2_Negative	R2_Selected
gRNA_2793	RE61	3287.8394170692	3198.203929522993	2658.3548353066985	4039.7940863488375	3451.790651299866	2715.423279017264	2486.236674356649	3224.254199317338	3599.651666466491
gRNA_2475	RE57	4085.743601480877	5385.083913764391	765.4304335709535	7739.170200869151	5501.970425546494	5348.948777706015	528.1261738037041	10315.142744942443	5197.505470156519
Zfp207_p1_6	Zfp207_p1	4644.793585596091	7070.6238225670495	4500.309127803505	6613.655430543106	5177.6859769498	6093.7067175684315	4234.812196439911	6860.805271823245	6600.969811965361
Trp53_p1_11	Trp53_p1	2694.4872457941974	4097.158547551077	4503.824307751018	4444.27595693476	4427.987135735276	3885.0259543338425	3459.165170876698	5745.905112863897	3827.1286963274524
BRDN0000737980	NT	3869.715488963538	3469.866039366645	3703.2420747049346	2962.0132013714424	3036.4056746180177	3403.8764949038277	3036.419161683478	3150.133413126135	3396.990312590361
Pou5f1_p1_4	Pou5f1_p1	3851.303285561593	3395.776373045649	2240.927216539531	2568.8367246838848	3291.3199963241823	3664.9256697009637	2054.913209904436	3781.704278797012	3423.1846372410173
Zfp445_p1_3	Zfp445_p1	4671.1507808769575	3674.8474495214004	3200.5713422105773	3657.9230035596443	3938.2173241949076	5520.42225526884	4435.769719650601	4351.507822641886	4425.462217295073
Arid4a_p1_1	Arid4a_p1	4784.020109950523	6142.033338010567	4400.126499299385	7384.93452538707	6784.064096029301	7596.019125469595	5109.712632857184	12027.641742568367	6223.220077529582
Zfp292_p1_10	Zfp292_p1	5601.849829550606	6423.574070030351	9198.347127654615	6320.971344063231	6010.963284297491	6139.77421900322	11737.634846556106	3580.960482862504	5164.417902176742
Capn15_p1_4	Capn15_p1	3000.684710588184	2824.0511146019635	3416.754908982626	2717.0630002402163	2860.055111077032	3647.010530254101	3698.1085673772136	4400.921680102689	3319.7859873042166
Cdx4_p1_10	Cdx4_p1	3539.8091595149926	5946.930550031944	4359.701929902985	5626.317696752626	5552.953289887727	5484.591976375115	5087.65631933406	4953.739210445413	4120.780862147966
Zfp217_p1_1	Zfp217_p1	3866.184381461795	4594.794139673767	3020.418369900536	2148.024840689214	4649.470070988174	4151.193740401511	2527.8985999003285	1999.7170441168357	4233.830052745536
E2f8_p2_10	E2f8_p2	3666.8029185955297	3862.5412708679237	2673.2943500836286	3180.584150073152	4568.3989588389995	6743.770348926005	4544.825936514939	6235.411138334967	6490.67791869944
Gli2_p1_12	Gli2_p1	1894.313063702829	3071.0166690052833	3462.4522483002947	3214.500331768245	2407.059824635258	2474.8485493022567	3359.9117600226377	2226.7119518273958	1862.554347528238
Gmeb2_p1_9	Gmeb2_p1	4042.9919785133475	3616.8105442366204	2552.0206418944304	2424.378913760341	3748.494206072615	4453.191805362902	2732.532175364873	3225.7983823629884	4967.2711429639085
Zfp654_p1_2	Zfp654_p1	3650.1562689444563	4193.4751137683725	6143.655753265828	4015.927143674513	4784.867186123906	4970.171543686642	10681.382498948698	3502.20714753435	4892.824115009413
Etv5_p1_5	Etv5_p1	3999.9881335814075	4833.115899672971	3920.3044364638617	4851.270137275874	4738.063245089332	5157.000855061063	5461.388298475892	6416.080554676026	5540.7889879466975
BRDN0000738101	NT	4293.322278190473	4568.862756461419	7348.483680275905	4159.128799720461	4533.296003063068	5133.967104343668	11173.973500965147	3102.263738710983	4595.036003191426
Zfp207_p1_5	Zfp207_p1	1849.0392210911973	4925.727982574216	4285.883151005212	3733.292296215406	3476.8641911398167	1722.4126925340422	1659.124917239479	1930.2288070625827	1811.5443468927494
Zfp236_p1_9	Zfp236_p1	2957.428643691834	2580.7900435146935	2675.0519400573853	3042.4071135375884	3605.5750289848966	2490.204383113853	2258.3214346176956	2955.566349374227	2561.529221101011
Foxi3_p1_8	Foxi3_p1	4043.1180894955523	4702.224155839212	5946.8056762051	4699.275397086754	5509.492487498479	4317.548606693803	4840.135467574551	4173.926772392129	5280.224390105959
Hes1_p2_12	Hes1_p2	3793.5444557116566	6323.553020497006	5392.286039484926	4922.870965298848	5821.240166175198	6329.162836012907	4867.093184102814	6551.968662693231	6321.104132803087
Dcp1a_p1_6	Dcp1a_p1	3914.484887646349	6690.296868785937	6342.263420300312	4915.334036033271	5850.492629321807	4977.84946059244	5994.415875284735	3738.4671535188104	5139.602226191911
Csde1_p1_5	Csde1_p1	5144.5714080749085	6454.444764330767	10339.901815609459	7410.057622938991	5074.884463606002	5689.336427196398	10387.29831864037	5471.040530738184	5033.446278923461
Zfp985_p1_5	Zfp985_p1	1812.719258216128	2321.4762113912075	2176.775182497419	2477.1374186193743	2816.594308687784	2623.2882761476867	2377.180457492311	2554.0787575052095	3175.0278773926957
Foxd3_p1_3	Foxd3_p1	3750.918943726332	2770.9535204052495	2206.654212051279	1994.773945622498	3383.2563090706676	2620.728970512421	2143.138463996934	1979.6426645233848	3104.716795435671
Elf1_p1_8	Elf1_p1	3261.3561108061285	2420.2624331525353	2221.5937268282096	2268.6157089384333	2868.412957690349	2551.627718360238	3944.4040683854378	2035.2332541667872	2990.288956172278
Tead4_p1_12	Tead4_p1	2984.4163938837255	4339.184790866331	3950.1834660177224	4861.319376296642	4565.055820193673	3777.535117652669	3482.4468351511073	3888.2529089468667	4764.609789087779
Sox2_p1_11	Sox2_p1	3326.9338215527814	5349.27390837591	3008.994035071119	3940.557851018751	4595.144068001614	3316.8601033047826	2242.3918748509946	2195.828290914394	4701.1919504598745
Tfam_p2_7	Tfam_p2	2457.650821213017	2721.560409524586	2633.7485756741075	2541.201317376772	3939.0531088562393	3613.739556995643	1963.0119035580835	4166.205857163879	3464.5440972157376
Ahctf1_p1_10	Ahctf1_p1	3844.2410705581074	6235.8802486838285	4997.707090376593	4469.39905448668	6789.078803997291	5031.594878933027	2810.9546234470936	3860.4576141251655	4111.130321487199
Nup62cl_p1_10	Nup62cl_p1	3967.955944101312	3640.2722719049357	3026.569934808684	3294.894243934391	4529.11707975641	4880.595846452331	4527.671025996953	6482.480425638978	4385.4814059861765
Pias1_p1_3	Pias1_p1	2948.222541990862	1086.6484393746077	971.0684605004634	973.5200301369244	1252.0054226748666	1466.4821290074385	857.7455258992875	2733.2039908006172	2211.3524599817124
Pknox1_p1_10	Pknox1_p1	1086.9505556257693	908.8332402042173	545.7316868513916	694.6536473106055	914.3484194968653	698.6904384276278	254.87295626721686	965.1144035312914	714.1400088968373
Rbpj_p2_4	Rbpj_p2	2607.722890037088	3130.28840206208	1542.285201971324	2130.4386724028695	3482.7146837691384	2830.5920326042356	1849.0542836886068	2583.418235372561	3439.7284212309055
