sgRNA	Gene	R1_Unsorted	R2_Unsorted	R1_Selected	R2_Selected	R1_Negative	R2_Negative	R1_Low	R2_Low	R1_High	R2_High	PlasmidLib
Rbpj_p2_11	Rbpj_p2	432.7094101950982	623.9632019216655	496.6251528786548	559.6611343500782	471.0437869716808	667.7211376465629	493.1751244024272	657.4527941023192	354.1997168592666	537.1425499888419	433.1483554394163
Prdm4_p1_2	Prdm4_p1	792.8229811521667	1092.6544549780317	768.7069576125817	776.1424363177387	736.0059171432513	1031.9326672719608	900.6317152777658	1222.9785603567036	613.4507916700119	1114.701165632184	690.4178970071042
Gm20422_p1_8	Gm20422_p1	725.9583923802971	751.9187894125139	799.0506533078152	775.2309360989275	875.3563707890402	615.848586457491	886.5409974376964	691.1981587553586	861.1429013618067	679.2506518062783	804.5520209025875
Zfp367_p1_4	Zfp367_p1	839.6281932924753	761.9827120241537	777.8100663211518	695.4746669529474	908.7219723662009	573.9090769854755	917.0708860911801	698.179958338746	950.3120608508528	715.7554853006656	727.8389212351316
Zfp57_p4_9	Zfp57_p4	410.73961674148393	303.3553815794272	344.90667440248734	337.2550809601448	403.3312425945017	334.412404474229	403.9339114153213	318.83551430802737	342.6407517403162	306.3798525421792	244.17218308787832
Elf3_p1_6	Elf3_p1	182.444806506101	566.4550727122954	422.78882668691995	510.44012253427326	117.7609467429202	733.9414157602715	163.21748164746995	690.0345254914607	182.46652080628886	577.5586156433421	392.920754394287
Tcf7_p2_3	Tcf7_p2	963.8052867259472	841.0563896870376	546.1865225142028	598.3998936495543	972.5091518519494	928.1875648938171	994.5698342115614	876.2158477151263	982.5120351107862	956.948135174296	489.2798917814573
Plagl1_p1_12	Plagl1_p1	305.6666915285462	444.25029814238394	411.662804932001	436.60860481056585	293.42102563444286	518.7255118907183	281.81435680138696	339.78091305818975	341.81511137467686	385.90823979780873	363.9194606175658
5730507C01Rik_p1_7	5730507C01Rik_p1	555.9312952175434	559.2665565611242	728.2486966856038	731.0231754865843	456.32366862881577	602.6045308347493	662.2637384832593	667.9254934774004	543.2713605906699	573.6473834832292	807.3585977196897
Ncoa1_p1_8	Ncoa1_p1	1810.1199388956095	1312.6230492038724	1229.9311321801308	1092.8887623546316	2201.14836286975	1260.3926267642557	1778.9531273087553	1168.2877969535018	1603.393590071552	1117.3086537389258	1151.632020617541
Zfp958_p1_3	Zfp958_p1	384.94898964376284	182.58831023975003	418.74300059422217	367.7903382903201	461.2303747431041	115.88548669899025	402.7596849286489	144.29052472334087	454.10220110162385	185.1316555786785	470.5693796674437
Thyn1_p2_12	Thyn1_p2	493.84274850080743	1186.1051649432582	662.5040226792645	659.9261584193105	428.8461143888011	989.9931577999453	548.3637692760321	1150.833297995033	502.81498267434347	1162.9396956069102	496.76409662706277
