cell	stage	embryo	run	sex
E4.5_P2_Cell51_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell52_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell53_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell54_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell55_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell56_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell57_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell59_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell5_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell61_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell62_embryo3_double	E4.5	embryo3	P2	XX
E4.5_P2_Cell63_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell64_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell65_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell66_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell67_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell69_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell6_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell71_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell73_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell75_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell76_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell77_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell78_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell79_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell7_embryo4_double	E4.5	embryo4	P2	XY
E4.5_P2_Cell80_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell81_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell82_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell83_embryo5_double	E4.5	embryo5	P2	XX
E4.5_P2_Cell85_embryo3_single	E4.5	embryo3	P2	XX
E4.5_P2_Cell87_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell88_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell89_embryo4_single	E4.5	embryo4	P2	XY
E4.5_P2_Cell8_embryo5_single	E4.5	embryo5	P2	XX
E4.5_P2_Cell92_embryo5_single	E4.5	embryo5	P2	XX
