Gene	reporter	pval	fdr	lfc	norm_lfc	zfc
Mxi1_p1	RE57R	0.8883200847251034	1	0.08919154732718847	-0.07942267626175559	-0.020356086921862086
Mxi1_p1	RE58	0.7121986390083539	1	-0.04884810004324898	-0.21746232363219303	0.06340791800732992
Mxi1_p1	RE61	0.381932675146762	1	0.10693471741559793	-0.06167950617334613	-0.14113167080550224
Mxi1_p1	RE85	0.010081965271381166	0.7863932911677309	0.28649669699291813	0.11788247340397406	-0.43603512683729667
Mxi1_p1	RE93	0.8202729063811465	1	0.16675635235497657	-0.0018578712339675084	-0.040446039395491254
Mxi1_p1	RE95	0.2040307864806973	1	0.00650535724290257	-0.1621088663460415	0.21358426982189302
Mxi1_p1	RE96	0.5568559830658057	1	0.12841191538133723	-0.040202308207606854	-0.09436012122358263
Mxi1_p1	RE97	0.4723493393816074	1	0.02384280488325256	-0.14477141870569152	0.10279826851765082
Myc_p1	RE127	0.10936941400705855	1	-0.5487219285958344	-0.19143661139318974	0.28963104013566776
Myc_p1	RE57L	0.0013614403590020824	0.13478259554120617	0.15409266512426179	0.5113779823269065	-0.7140154272797481
Myc_p1	RE57M	9.699825169975069e-9	1.0184816428473823e-6	0.16447612030298323	0.5217614375056279	-0.8522748514030533
Myc_p1	RE57R	0.0029218873433293053	0.30387628370624775	-0.07408722267163217	0.28319809453101247	-0.6153674210009058
Myc_p1	RE58	0.01846294066669825	1	-0.08676354793630126	0.27052176926634336	-0.5619879743858207
Myc_p1	RE61	0.012244618247445882	0.9795694597956706	-0.7052688322487125	-0.34798351504606784	0.3520032132423255
Myc_p1	RE85	0.010169215081348942	0.7863932911677309	-0.27987260789505664	0.07741270930758799	-0.38752118685696646
Myc_p1	RE93	4.5131481944790615e-4	0.0442288523058948	-0.06814005314936732	0.2891452640532773	-0.596954397104792
Myc_p1	RE95	3.05197034817585e-4	0.03174049162102884	-0.2110722518477947	0.1462130653548499	-0.4440277237904414
Myc_p1	RE96	5.611812250837053e-7	6.116875353412387e-5	0.14938427626538944	0.5066695934680341	-0.9786877148089689
Myc_p1	RE97	0.013418494049532017	1	-0.2245781648117655	0.1327071523908791	-0.412387583506886
Myef2_p1	RE127	0.13890336885397442	1	-0.09512141787826205	-0.22419452064957332	0.36030549141111073
Myef2_p1	RE57L	0.03204120036432975	1	-0.661210273797508	-0.7902833765688193	0.5738380344567865
Myef2_p1	RE57M	0.8994346142558427	1	-0.0031726908378892447	-0.13224579360920052	0.012714915234327944
Myef2_p1	RE57R	0.06021601007012403	1	-0.1898466134987042	-0.3189197162700155	0.41053576312129647
Myef2_p1	RE58	0.1620088821657719	1	-0.26114441042730985	-0.39021751319862114	0.31299554431252574
Myef2_p1	RE61	0.7795960646089147	1	0.028107956599654538	-0.10096514617165675	-0.04318714696226628
Myef2_p1	RE85	0.7712641315329484	1	-0.13158649515621113	-0.2606595979275224	0.0487102982148347
Myef2_p1	RE93	0.016127289331630632	1	-0.1251459360229909	-0.2542190387943022	0.43658176122524717
Myef2_p1	RE95	0.24215799749139424	1	-0.04695372252908793	-0.1760268253003992	0.2255680440336488
Myef2_p1	RE96	0.690705447756079	1	0.06434246051415154	-0.06473064225715973	-0.07378223576828903
Myef2_p1	RE97	0.1772696905304486	1	-0.08242838261859788	-0.21150148538990915	0.19903090469393175
Myrf_p1	RE127	0.770551142195053	1	-0.13601298808408843	-0.06768779576324829	0.05220942266008066
Myrf_p1	RE57L	0.28392217430499833	1	-0.08206252035597139	-0.013737328035131245	-0.15172767920944352
Myrf_p1	RE57M	0.046854132910182804	1	-0.3640932033633948	-0.2957680110425546	0.2308181406217952
Myrf_p1	RE57R	0.667565991742566	1	-0.08589292238689243	-0.017567730066052292	-0.08490621752867239
Myrf_p1	RE58	0.1717621655837342	1	-0.37838417941758096	-0.3100589870967408	0.19968090395141513
Myrf_p1	RE61	0.08630313537517006	1	-0.03845953977305756	0.029865652547782583	-0.2959712879678328
Myrf_p1	RE85	0.8057761732875712	1	-0.26607744879835804	-0.1977522564775179	-0.030631978346597286
Myrf_p1	RE93	0.23559952479631716	1	-0.15835873656569074	-0.09003354424485058	0.1271487972925186
Myrf_p1	RE95	0.4743041028004418	1	-0.09683952146742729	-0.028514329146587136	-0.13634385283760114
Myrf_p1	RE96	0.006728565033581533	0.592113722955175	-0.5395289019800481	-0.47120370965920794	0.5365411122680804
Myrf_p1	RE97	0.9099680042484328	1	-0.16834659460136084	-0.10002140228052069	-0.020449141985233146
Nanog_p1	RE127	1.8015396905063638e-7	1.9816936595570002e-5	-0.7278415313384885	-0.6972609596882372	1.242539498524584
Nanog_p1	RE57L	1.1017563311395939e-6	1.1568441476965735e-4	-1.0904370276232187	-1.0598564559729673	0.8630048242627111
